#,company,url,hq_city,est_revenue_range,category,buyer_role,personalization_hook_1,personalization_hook_2,personalization_hook_3
11,Haus,drinkhaus.com,"Sonoma, CA",$10-50M,food & bev,Founder (Helena Price Hambrecht),Relaunch post-2022 collapse; new creative direction,"Founder photographer herself — intentional, editorial casting",Founder is tech-literate (ex-Silicon Valley); open to AI tooling
12,Chamberlain Coffee,chamberlaincoffee.com,"Los Angeles, CA",$50-200M,food & bev,Creative Director,Emma Chamberlain personal-brand extension; Matcha-led product drops,Founder-creator casting; some diverse supporting talent,Creator-led brand — culturally AI-fluent
13,Recess,takearecess.com,"New York, NY",$10-50M,food & bev,Creative Director,"""Calm your mind"" surreal-pastel CBD/adaptogen creative",Minimal human casting — heavy on set design and illustration,Aesthetic-driven; founder Ben Witte has spoken about creative velocity
14,Starface,starface.world,"New York, NY",$50-200M,beauty,Creative Director,"Yellow-star pimple patch collabs (Hello Kitty, Pusheen)","Diverse Gen-Z casting, mascot-forward, heavy UGC",Playful visual brand — very plausible AI adopter
15,Topicals,mytopicals.com,"Los Angeles, CA",$10-50M,beauty,Founder (Olamide Olowe),"""Faded"" eczema campaign; Sephora expansion","Deeply committed to Black + POC casting, skin-condition authenticity",Founder-led; authenticity ethos may resist synthetic — pitch as supplement not replacement
16,Saie,saiehello.com,"New York, NY",$50-200M,beauty,Founder (Laney Crowell),Dew Balm virality; sustainability-forward packaging campaigns,"Diverse casting; clean-beauty ""real-person"" editorial",No AI stance publicly
17,Merit Beauty,meritbeauty.com,"Los Angeles, CA",$50-200M,beauty,Founder (Katherine Power),"""The Uniform"" minimalist-makeup positioning",Intentionally diverse across age/skin tone; less heavy UGC,"Founder runs Versed, Who What Wear — very tooling-aware"
18,Tower 28,tower28beauty.com,"El Segundo, CA",$50-200M,beauty,Founder (Amy Liu),SuperDew balm virality; sensitive-skin-first positioning,"Diverse casting including skin-condition talent (eczema, rosacea)",No AI stance
19,Summer Fridays,summerfridays.com,"New York, NY",$50-200M,beauty,Co-founders (Marianna Hewitt / Lauren Gores),Lip Butter Balm is a TikTok mainstay; founder-led creative,Founder-face brand; Marianna Hewitt is a creator herself,Creator-founder combo — AI-aware
20,Rhode,rhodeskin.com,"Los Angeles, CA",$200M+,beauty,Creative Director,Hailey Bieber-led launches; phone-case lipgloss virality,Celeb-anchored + diverse supporting cast; polished editorial,Founder-celeb brand — watching for AI cautiously (likeness issues)
21,Kosas,kosas.com,"Los Angeles, CA",$50-200M,beauty,Founder (Sheena Zadeh),"""Plump + Juicy"" skin-first makeup creative","Diverse casting, real-skin focus",No AI commentary
22,ILIA Beauty,iliabeauty.com,"Laguna Beach, CA",$50-200M,beauty,Creative Director,Skin Tint hero-SKU campaigns; clean-beauty leadership,"Editorial, diverse, age-inclusive casting",No AI stance; editorial aesthetic could fit AI
23,Glossier,glossier.com,"New York, NY",$200M+,beauty,Creative Director,"Ulta rollout creative; ""You Look Good"" relaunch","Hallmark diverse, real-people casting ethos",Known for craft-heavy creative — longer sales cycle but high reward
24,Dieux Skin,dieuxskin.com,"New York, NY",$10-50M,beauty,Founder (Charlotte Palermino),Forever Eye Mask reusable-patch positioning,Founder on-camera; TikTok-native creative,Charlotte is extremely online + tooling-fluent — strong target
25,Youth To The People,youthtothepeople.com,"Los Angeles, CA",$50-200M,beauty,Creative Director,Superfood Cleanser hero-SKU; post-L'Oréal-acquisition indie feel,Skatepark-LA aesthetic; diverse casting,Parent co is L'Oréal — possible AI pilot candidate
26,Vacation Inc.,vacation.inc,"Miami, FL",$10-50M,beauty,Founder (Lach Hall / Marty Bell),"""Classic Lotion"" 80s-retro sunscreen branding — every touchpoint is creative",Stylized vintage casting; uses actors not influencers,"Extremely design-forward — clear AI fit, team already produces high-concept scenes"
27,Outdoor Voices,outdoorvoices.com,"Austin, TX",$50-200M,fitness,Creative Director,Post-founder-return relaunch under Tyler Haney,"""Doing Things"" real-people casting DNA",Rebuild moment = new creative tooling window
28,Bandit Running,banditrunning.com,"Brooklyn, NY",$10-50M,fitness,Co-founder (Tim West),NYC Marathon campaigns; running-crew collabs,"Real runners, community-casting model",Founder open about creative ops on LinkedIn
29,Tracksmith,tracksmith.com,"Boston, MA",$50-200M,fitness,Creative Director,"Boston Marathon editorial content; ""Running Issue"" publication","Editorial sports-photography casting, Americana aesthetic",Craft-heavy brand — cautious AI adopter but premium fit
30,Alo Yoga,aloyoga.com,"Los Angeles, CA",$200M+,fitness,Creative Director,Celebrity-seeding machine; airport-pap content strategy,Celeb + diverse fitness casting,Large enough to pilot AI internally
31,Vuori,vuoriclothing.com,"Encinitas, CA",$200M+,fashion,VP Brand,Coastal-lifestyle campaigns; retail expansion,"Diverse, active-lifestyle casting",No AI stance but creative budget growing fast
32,Cuts Clothing,cutsclothing.com,"Los Angeles, CA",$50-200M,fashion,Founder (Steven Borrelli),Men's premium-basics; athlete partnerships,"Athlete casting; male-focused, diverse",Founder is tech-podcast fluent — AI-open
33,Buck Mason,buckmason.com,"Los Angeles, CA",$50-200M,fashion,Co-founder (Erik Allen Ford),Retail expansion + editorial men's catalog content,Americana-editorial casting; consistent heritage aesthetic,No AI stance; strong photography tradition
34,Kotn,kotn.com,"Toronto, ON",$10-50M,fashion,Co-founder (Rami Helali),Egyptian-cotton supply-chain storytelling campaigns,"Origin-story casting (farmers + models), diverse",Mission-forward; pitch carefully
35,Marine Layer,marinelayer.com,"San Francisco, CA",$50-200M,fashion,Creative Director,Re-Spun recycled-tee sustainability narrative,"Casual, diverse CA-lifestyle casting",No AI stance
36,Parachute Home,parachutehome.com,"Los Angeles, CA",$50-200M,home,Creative Director,Retail rollout + bedding-category leadership,"Lifestyle/lived-in home casting, diverse families",No AI commentary
37,Brooklinen,brooklinen.com,"Brooklyn, NY",$200M+,home,VP Brand,"""Home of the Comfortable"" brand-platform relaunch",Diverse couple + family casting; NYC aesthetic,Scale + velocity — strong AI pilot candidate
38,Our Place,fromourplace.com,"Los Angeles, CA",$50-200M,home,Creative Director,Always Pan hero-SKU + limited-edition color drops,Deeply diverse multi-cultural kitchen casting (core to brand),Diversity-committed — pitch AI as extension not replacement
39,Great Jones,greatjonesgoods.com,"New York, NY",$10-50M,home,Founder (Sierra Tishgart),Cookware + Stanley Tucci partnership era,Editorial food-media casting,Food-media-literate founder
40,Caraway,carawayhome.com,"New York, NY",$50-200M,home,Creative Director,Non-toxic cookware + color-drop marketing model,Diverse kitchen-lifestyle casting,Strong performance-marketing team — AI-curious
41,Ritual,ritual.com,"Los Angeles, CA",$200M+,wellness,VP Brand,"""Clean Label"" scientific-transparency creative",Diverse women-forward casting; doctors + scientists on camera,Founder Kat Schneider is tooling-fluent
42,Seed Health,seed.com,"Los Angeles, CA",$50-200M,wellness,Creative Director,DS-01 probiotic science-theater marketing,Science-forward casting; real researchers,Science-first brand — AI fits for illustrative content
43,Arrae,arrae.com,"Toronto, ON",$10-50M,wellness,Co-founder (Nish Samantray / Siffat Haider),Bloat-relief supplement TikTok dominance,Founder-face; diverse Gen-Z casting,Creator-founder fluent in content ops
44,Moon Juice,moonjuice.com,"Los Angeles, CA",$50-200M,wellness,Founder (Amanda Chantal Bacon),SuperYou adaptogen campaigns; celeb-endorsed,"Ethereal, diverse, adaptogen-aesthetic casting",Highly visual — AI-compatible
45,Hims & Hers,hims.com,"San Francisco, CA",$200M+,wellness,VP Creative,Super Bowl ads; telehealth category-definition creative,Heavy diverse casting; real-user testimonials,Already experimenting with programmatic creative — AI candidate
46,Cadence,keepyourcadence.com,"San Francisco, CA",$10-50M,wellness,Founder (Steph Hon),Magnetic-capsule travel containers; minimalist design,"Clean, diverse traveler casting",Design + tech-forward founder (YC alum)
47,Mid-Day Squares,middaysquares.com,"Montreal, QC",$10-50M,food & bev,Founders (Jake/Lez/Nick),"""Family"" docuseries-style founder content on every channel",Founders-as-talent; almost no outside casting,Founders obsess over content ops — very likely AI adopters
48,Fly By Jing,flybyjing.com,"Los Angeles, CA",$10-50M,food & bev,Founder (Jing Gao),Sichuan Chili Crisp hero; Target/Whole Foods expansion,Founder-face; AAPI casting focus,Founder is tooling-aware; tech-community adjacent
49,Jolie Skin Co.,jolieskinco.com,"Miami, FL",$10-50M,wellness,Co-founder (Ryan Babenzien),Filtered-showerhead creative; before/after hair+skin campaigns,"Diverse, clean-bathroom aesthetic casting",Ryan founded Greats — tooling-fluent serial DTC founder
50,Jones Road Beauty,jonesroadbeauty.com,"Summit, NJ",$50-200M,beauty,Founder (Bobbi Brown),"""Miracle Balm"" TikTok virality; Bobbi Brown founder-led content","Founder-face; age-inclusive, diverse casting","Bobbi Brown is on-camera daily — authenticity-first, harder AI pitch but huge content volume"
